week_id,data_raspagem,aedes_aegypti_femea,aedes_aegypti_macho,aedes_albopictus_femea,aedes_albopictus_macho,culex_sp_femea,culex_sp_macho,total_mosquitos
450,2025-08-16,2,0,0,0,50,10,62
451,2025-08-22,1,0,0,0,39,2,42
452,2025-08-27,1,0,0,6,78,7,92
453,2025-09-03,4,0,0,0,34,7,45
454,2025-09-13,9,0,0,0,55,10,74
455,2025-09-20,27,2,0,0,107,22,158
456,2025-09-27,49,0,0,0,125,19,193
457,2025-10-04,62,0,0,0,78,17,157
459,2025-10-16,113,0,4,0,159,30,306
460,2025-10-22,92,0,0,0,96,15,203
461,2025-11-01,208,0,9,0,141,40,398
462,2025-11-07,182,1,3,1,110,33,330
463,2025-11-14,173,0,5,0,215,61,454
464,2025-11-22,203,0,3,0,187,70,463
465,2025-11-29,253,1,8,0,229,114,605
466,2025-12-06,473,2,8,0,249,151,883
467,2025-12-13,495,4,9,0,249,164,921
468,2025-12-20,343,1,11,0,265,146,766
469,2025-12-27,246,0,8,0,137,99,490
470,2026-01-03,302,0,11,0,212,105,630
471,2026-01-10,847,31,33,0,299,156,1366
472,2026-01-17,923,3,31,0,338,107,1402
473,2026-01-24,786,2,30,0,209,108,1135
474,2026-01-31,807,12,28,0,163,72,1082
475,2026-02-06,762,1,37,0,170,45,1015
476,2026-02-11,577,0,5,7,97,17,703
477,2026-02-21,1059,4,16,0,99,18,1196
478,2026-02-27,946,4,18,1,200,40,1209
479,2026-03-06,1021,3,21,0,113,29,1187
480,2026-03-13,1018,5,41,0,139,25,1228
481,2026-03-20,1024,0,25,0,74,10,1133
